"","NEIGHBOURHOOD_NAME","Road","GENUS_NAME","mean_lichen_percent","mean_bryophyte_percent","mean_visually_distinct_taxa"
"1","KITSILANO","Arterial","ACER",26.9111111111111,25.1555555555556,6.82222222222222
"2","KITSILANO","Arterial","CARPINUS",25.1111111111111,3.13888888888889,5.77777777777778
"3","KITSILANO","Arterial","FAGUS",5.2,2.04444444444444,2.04444444444444
"4","KITSILANO","Arterial","PRUNUS",27.5384615384615,5.28205128205128,4.4957264957265
"5","KITSILANO","Residential","ACER",13.1111111111111,44.0555555555556,6.16666666666666
"6","KITSILANO","Residential","CARPINUS",10.4523809523809,21.5,5.04761904761904
"7","KITSILANO","Residential","FAGUS",28.2222222222222,10.9333333333333,6.51111111111111
"8","KITSILANO","Residential","PRUNUS",25.6969696969697,9.18181818181818,5.78787878787878
"9","RENFREW-COLLINGWOOD","Arterial","ACER",32.3703703703704,10.2814814814815,7.08888888888889
"10","RENFREW-COLLINGWOOD","Arterial","CARPINUS",37.2063492063492,9.33333333333333,8.15873015873016
"11","RENFREW-COLLINGWOOD","Arterial","FAGUS",32.1904761904762,0.166666666666667,5.68398268398269
"12","RENFREW-COLLINGWOOD","Arterial","PRUNUS",18.5555555555556,11.4444444444444,5.53968253968254
"13","RENFREW-COLLINGWOOD","Residential","ACER",31.9333333333333,32.2222222222222,7.77777777777778
"14","RENFREW-COLLINGWOOD","Residential","CARPINUS",39.1555555555556,12.0222222222222,8.08888888888889
"15","RENFREW-COLLINGWOOD","Residential","FAGUS",32.7555555555555,4.68888888888889,6.97777777777778
"16","RENFREW-COLLINGWOOD","Residential","PRUNUS",57.7444444444445,4.91111111111111,8.98888888888889
